rank,N,W,MIN_POP_PCT,LAM,n_stations,direct_demand,max_demand,direct_pct_of_max,feasible,captured_demand,captured_pct_of_max,improvement_pct,current_captured,direct_improvement_pct,current_direct_demand
431,80,0.6,75,0.3,80,267878.0,2261192.0,11.85,True,1626933.4987,86.47,-1.6,1653793.0999,-17.9,326375.0
432,75,1.0,90,0.3,75,267357.0,2261192.0,11.82,False,1633462.5037,86.81,-1.2,1653793.0999,-18.1,326375.0
433,75,1.0,85,0.3,75,267357.0,2261192.0,11.82,False,1633462.5037,86.81,-1.2,1653793.0999,-18.1,326375.0
434,80,0.9,90,0.5,80,267167.0,2261192.0,11.82,False,1635161.6327,86.9,-1.1,1653793.0999,-18.1,326375.0
435,80,0.9,85,0.5,80,267167.0,2261192.0,11.82,False,1635161.6327,86.9,-1.1,1653793.0999,-18.1,326375.0
436,80,0.6,80,0.5,80,266636.0,2261192.0,11.79,False,1622647.25,86.24,-1.9,1653793.0999,-18.3,326375.0
437,75,0.6,75,0.3,75,264040.0,2261192.0,11.68,False,1609744.0372,85.55,-2.7,1653793.0999,-19.1,326375.0
438,75,0.9,90,0.3,75,263651.0,2261192.0,11.66,False,1617670.9971,85.98,-2.2,1653793.0999,-19.2,326375.0
439,75,0.9,85,0.3,75,263651.0,2261192.0,11.66,False,1617670.9971,85.98,-2.2,1653793.0999,-19.2,326375.0
440,80,0.8,75,0.3,80,262753.0,2261192.0,11.62,False,1622803.7042,86.25,-1.9,1653793.0999,-19.5,326375.0
441,80,0.8,75,0.5,80,262533.0,2261192.0,11.61,True,1624332.9629,86.33,-1.8,1653793.0999,-19.6,326375.0
442,80,0.9,75,0.3,80,262470.0,2261192.0,11.61,False,1619014.334,86.05,-2.1,1653793.0999,-19.6,326375.0
443,80,1.0,75,0.3,80,262470.0,2261192.0,11.61,False,1619014.334,86.05,-2.1,1653793.0999,-19.6,326375.0
444,80,1.0,80,0.3,80,262219.0,2261192.0,11.6,False,1639648.7996,87.14,-0.9,1653793.0999,-19.7,326375.0
445,75,0.7,85,0.5,75,261857.0,2261192.0,11.58,False,1607561.5049,85.44,-2.8,1653793.0999,-19.8,326375.0
446,75,0.7,90,0.5,75,261857.0,2261192.0,11.58,False,1607561.5049,85.44,-2.8,1653793.0999,-19.8,326375.0
447,75,1.0,90,0.5,75,260519.0,2261192.0,11.52,False,1624002.4511,86.31,-1.8,1653793.0999,-20.2,326375.0
448,75,1.0,85,0.5,75,260519.0,2261192.0,11.52,False,1624002.4511,86.31,-1.8,1653793.0999,-20.2,326375.0
449,75,1.0,80,0.3,75,260458.0,2261192.0,11.52,False,1621220.3278,86.16,-2.0,1653793.0999,-20.2,326375.0
450,80,0.8,90,0.3,80,259794.0,2261192.0,11.49,False,1642779.632,87.31,-0.7,1653793.0999,-20.4,326375.0
451,80,0.8,85,0.3,80,259794.0,2261192.0,11.49,False,1642779.632,87.31,-0.7,1653793.0999,-20.4,326375.0
452,75,0.9,75,0.3,75,259217.0,2261192.0,11.46,False,1616393.447,85.91,-2.3,1653793.0999,-20.6,326375.0
453,75,1.0,75,0.3,75,259217.0,2261192.0,11.46,False,1616393.447,85.91,-2.3,1653793.0999,-20.6,326375.0
454,75,0.8,75,0.5,75,258862.0,2261192.0,11.45,True,1607971.3213,85.46,-2.8,1653793.0999,-20.7,326375.0
455,80,0.8,80,0.3,80,258154.0,2261192.0,11.42,True,1624991.4013,86.36,-1.7,1653793.0999,-20.9,326375.0
456,80,0.9,80,0.5,80,256009.0,2261192.0,11.32,False,1629600.6219,86.61,-1.5,1653793.0999,-21.6,326375.0
457,75,0.6,80,0.5,75,255834.0,2261192.0,11.31,False,1606394.0153,85.38,-2.9,1653793.0999,-21.6,326375.0
458,75,1.0,80,0.5,75,255711.0,2261192.0,11.31,False,1619507.6435,86.07,-2.1,1653793.0999,-21.7,326375.0
459,80,0.9,85,0.3,80,255172.0,2261192.0,11.28,False,1649940.0847,87.69,-0.2,1653793.0999,-21.8,326375.0
460,80,0.9,90,0.3,80,255172.0,2261192.0,11.28,False,1649940.0847,87.69,-0.2,1653793.0999,-21.8,326375.0
461,75,0.9,80,0.5,75,254170.0,2261192.0,11.24,True,1607864.0405,85.45,-2.8,1653793.0999,-22.1,326375.0
462,75,0.7,80,0.5,75,253460.0,2261192.0,11.21,False,1614762.6281,85.82,-2.4,1653793.0999,-22.3,326375.0
463,70,0.9,80,0.5,70,253257.0,2261192.0,11.2,False,1600793.2487,85.08,-3.2,1653793.0999,-22.4,326375.0
464,70,0.9,85,0.5,70,253257.0,2261192.0,11.2,False,1600793.2487,85.08,-3.2,1653793.0999,-22.4,326375.0
465,70,0.9,90,0.5,70,253257.0,2261192.0,11.2,False,1600793.2487,85.08,-3.2,1653793.0999,-22.4,326375.0
466,75,0.9,80,0.3,75,252860.0,2261192.0,11.18,False,1619516.4756,86.07,-2.1,1653793.0999,-22.5,326375.0
467,75,0.6,75,0.5,75,249021.0,2261192.0,11.01,True,1602946.2056,85.19,-3.1,1653793.0999,-23.7,326375.0
468,75,0.8,75,0.3,75,248915.0,2261192.0,11.01,True,1603359.8179,85.21,-3.0,1653793.0999,-23.7,326375.0
469,75,0.8,80,0.5,75,245125.0,2261192.0,10.84,False,1611111.4085,85.63,-2.6,1653793.0999,-24.9,326375.0
470,75,0.7,75,0.3,75,243751.0,2261192.0,10.78,True,1599163.7775,84.99,-3.3,1653793.0999,-25.3,326375.0
471,70,0.6,75,0.5,70,242947.0,2261192.0,10.74,True,1589983.0213,84.5,-3.9,1653793.0999,-25.6,326375.0
472,75,0.8,90,0.5,75,242413.0,2261192.0,10.72,False,1600890.8298,85.08,-3.2,1653793.0999,-25.7,326375.0
473,75,0.8,85,0.5,75,242413.0,2261192.0,10.72,False,1600890.8298,85.08,-3.2,1653793.0999,-25.7,326375.0
474,75,0.8,90,0.3,75,242329.0,2261192.0,10.72,False,1613150.7654,85.73,-2.5,1653793.0999,-25.8,326375.0
475,75,0.8,80,0.3,75,242329.0,2261192.0,10.72,False,1613150.7654,85.73,-2.5,1653793.0999,-25.8,326375.0
476,75,0.8,85,0.3,75,242329.0,2261192.0,10.72,False,1613150.7654,85.73,-2.5,1653793.0999,-25.8,326375.0
477,70,0.9,85,0.3,70,240839.0,2261192.0,10.65,False,1598516.492,84.96,-3.3,1653793.0999,-26.2,326375.0
478,70,0.9,90,0.3,70,240839.0,2261192.0,10.65,False,1598516.492,84.96,-3.3,1653793.0999,-26.2,326375.0
479,70,0.9,80,0.3,70,240839.0,2261192.0,10.65,False,1598516.492,84.96,-3.3,1653793.0999,-26.2,326375.0
480,70,0.7,80,0.3,70,240524.0,2261192.0,10.64,False,1592727.6018,84.65,-3.7,1653793.0999,-26.3,326375.0
481,75,0.7,75,0.5,75,239766.0,2261192.0,10.6,True,1601087.3489,85.09,-3.2,1653793.0999,-26.5,326375.0
482,70,0.8,80,0.5,70,239407.0,2261192.0,10.59,False,1583511.3078,84.16,-4.2,1653793.0999,-26.6,326375.0
483,70,0.6,90,0.5,70,237464.0,2261192.0,10.5,False,1580335.7409,83.99,-4.4,1653793.0999,-27.2,326375.0
484,70,0.6,85,0.5,70,237464.0,2261192.0,10.5,False,1580335.7409,83.99,-4.4,1653793.0999,-27.2,326375.0
485,70,0.6,80,0.5,70,237464.0,2261192.0,10.5,False,1580335.7409,83.99,-4.4,1653793.0999,-27.2,326375.0
